4,-0.76
146379,2.61,0
146381,2.68,0.68
146382,2.66,0.66
146383,2.66,0.66
146384,2.66,0.66
146385,2.66,0.66
146386,2.66,0.66
146387,2.66,0.66
146388,2.66,0.66
146389,2.66,0.66
146390,2.66,0.66
146391,2.68,0.68
146392,2.66,0.66
146393,2.66,0.66
146394,2.66,0.66
146395,2.66,0.66
146396,2.66,0.66
146397,2.66,0.66
146398,2.66,0.66
146399,2.66,0.66
146401,2.66,0.66
146402,2.66,0.66
146403,2.66,0.66
146404,2.66,0.66
146405,2.66,0.66
146406,2.66,0.66
146407,2.66,0.66
146408,2.66,0.66
146409,2.66,0.66
146410,2.66,0.66
146411,2.66,0.66
146412,2.66,0.66
146413,2.65,0.65
146414,2.66,0.66
146415,2.66,0.66
146416,2.66,0.66
146417,2.66,0.66
146418,2.66,0.66
146419,2.66,0.66
146420,2.66,0.66
146421,2.69,0.69
146422,2.66,0.66
146423,2.66,0.66
146424,2.66,0.66
146426,2.66,0.66
146427,2.66,0.66
146428,2.66,0.66
146429,2.66,0.66
146430,2.66,0.66
146431,2.66,0.66
146432,2.66,0.66
146433,2.66,0.66
146434,2.66,0.66
146435,2.66,0.66
146436,2.66,0.66
146437,2.66,0.66
146438,2.66,0.66
146439,2.66,0.66
146440,2.66,0.66
146441,2.66,0.66
146442,2.66,0.66
146443,2.66,0.66
146444,2.66,0.66
146445,2.66,0.66
146446,2.66,0.66
146447,2.66,0.66
146448,2.66,0.66
146449,2.68,0.68
146450,2.66,0.66
146451,2.66,0.66
146452,2.66,0.66
146453,2.68,0.68
146454,2.66,0.66
146455,2.66,0.66
146456,2.66,0.66
146457,2.66,0.66
146458,2.66,0.66
146459,2.66,0.66
146460,2.66,0.66
146461,2.66,0.66
146462,2.66,0.66
146463,2.66,0.66
146464,2.66,0.66
146466,2.66,0.66
146467,2.66,0.66
146468,2.66,0.66
146469,2.66,0.66
146470,2.66,0.66
146471,2.66,0.66
146472,2.66,0.66
146473,2.66,0.66
146474,2.66,0.66
146475,2.68,0.68
146476,2.66,0.66
146477,2.66,0.66
146478,2.66,0.66
146479,2.66,0.66
146480,2.68,0.68
146481,2.66,0.66
146482,2.66,0.66
146483,2.66,0.66
146484,2.66,0.66
146485,2.68,0.68
146486,2.66,0.66
146487,2.66,0.66
146488,2.66,0.66
146489,2.66,0.66
146490,2.66,0.66
146491,2.66,0.66
146492,2.66,0.66
146493,2.65,0.65
146494,2.66,0.66
146495,2.66,0.66
146496,2.66,0.66
146497,2.66,0.66
146498,2.66,0.66
146499,2.66,0.66
146500,2.66,0.66
146502,2.68,0.68
146503,2.68,0.68
146504,2.68,0.68
146505,2.68,0.68
146506,2.68,0.68
146507,2.66,0.66
146508,2.66,0.66
146509,2.66,0.66
146510,2.64,0.64
146511,2.68,0.68
146512,2.66,0.66
146513,2.66,0.66
146514,2.66,0.66
146515,2.66,0.66
146516,2.66,0.66
146517,2.66,0.66
146518,2.66,0.66
146519,2.66,0.66
146520,2.66,0.66
146521,2.66,0.66
146522,2.66,0.66
146523,2.66,0.66
146524,2.66,0.66
146525,2.66,0.66
146526,2.66,0.66
146528,2.66,0.66
146529,2.68,0.68
146530,2.68,0.68
146531,2.66,0.66
146532,2.66,0.66
146533,2.66,0.66
146534,2.66,0.66
146535,2.66,0.66
146536,2.66,0.66
146537,2.66,0.66
146538,2.68,0.68
146539,2.66,0.66
146540,2.66,0.66
146541,2.68,0.68
146542,2.66,0.66
146543,2.66,0.66
146544,2.65,0.65
146545,2.64,0.64
146546,2.66,0.66
146547,2.66,0.66
146548,2.66,0.66
146549,2.66,0.66
146550,2.66,0.66
146551,2.66,0.66
146552,2.66,0.66
146553,2.66,0.66
146555,2.66,0.66
146556,2.66,0.66
146557,2.66,0.66
146558,2.66,0.66
146559,2.66,0.66
146560,2.66,0.66
146561,2.66,0.66
146562,2.66,0.66
146563,2.66,0.66
146564,2.66,0.66
146565,2.66,0.66
146566,2.66,0.66
146567,2.66,0.66
146568,2.66,0.66
146569,2.66,0.66
146570,2.66,0.66
146571,2.66,0.66
146572,2.66,0.66
146573,2.68,0.68
146574,2.66,0.66
146575,2.66,0.66
146576,2.66,0.66
146577,2.66,0.66
146578,2.66,0.66
146579,2.66,0.66
146580,2.66,0.66
146581,2.66,0.66
146582,2.66,0.66
146583,2.66,0.66
146584,2.66,0.66
146585,2.66,0.66
146586,2.66,0.66
146587,2.66,0.66
146588,2.66,0.66
146589,2.66,0.66
146590,2.66,0.66
146591,2.66,0.66
146592,2.66,0.66
146593,2.66,0.66
146594,2.66,0.66
146596,2.66,0.66
146597,2.66,0.66
146598,2.66,0.66
146599,2.66,0.66
146600,2.66,0.66
146601,2.66,0.66
146602,2.66,0.66
146603,2.66,0.66
146604,2.66,0.66
146605,2.68,0.68
146606,2.66,0.66
146607,2.66,0.66
146608,2.65,0.65
146609,2.66,0.66
146610,2.66,0.66
146611,2.66,0.66
146612,2.66,0.66
146613,2.66,0.66
146614,2.66,0.66
146615,2.66,0.66
146616,2.66,0.66
146617,2.66,0.66
146618,2.66,0.66
146619,2.66,0.66
146620,2.66,0.66
146621,2.66,0.66
146622,2.66,0.66
146623,2.66,0.66
146624,2.66,0.66
146625,2.66,0.66
146626,2.68,0.68
146627,2.66,0.66
146628,2.68,0.68
146630,2.66,0.66
146631,2.66,0.66
146632,2.66,0.66
146633,2.66,0.66
146634,2.66,0.66
146635,2.66,0.66
146636,2.66,0.66
146637,2.66,0.66
146638,2.66,0.66
146639,2.66,0.66
146640,2.65,0.65
146641,2.66,0.66
146642,2.65,0.65
146643,2.65,0.65
146644,2.65,0.65
146645,2.64,0.64
146646,2.64,0.64
146647,2.62,0.62
146648,2.62,0.62
146649,2.61,0.61
146650,2.61,0.61
146651,2.61,0.61
146652,2.60,0.60
146653,2.60,0.60
146654,2.60,0.60
146655,2.60,0.60
146656,2.58,0.58
146657,2.57,0.57
146658,2.66,0.66
146659,2.55,0.55
146660,2.54,0.54
146661,2.54,0.54
146662,2.54,0.54
146663,2.51,0.51
146664,2.51,0.51
146666,2.50,0.50
146667,2.49,0.49
146668,2.49,0.49
146669,2.47,0.47
146670,2.47,0.47
146671,2.46,0.46
146672,2.46,0.46
146673,2.43,0.43
146674,2.43,0.43
146675,2.42,0.42
146676,2.40,0.40
146677,2.43,0.43
146678,2.39,0.39
146679,2.37,0.37
146680,2.37,0.37
146681,2.36,0.36
146682,2.35,0.35
146683,2.33,0.33
146684,2.33,0.33
146685,2.32,0.32
146686,2.31,0.31
146687,2.29,0.29
146688,2.28,0.28
146689,2.28,0.28
