0.55,-0.55
27848,-0.55,-0.55
27849,-0.56,-0.56
27850,-0.56,-0.56
27851,-0.56,-0.56
27852,-0.53,-0.53
27853,-0.56,-0.56
27855,-0.55,-0.55
27856,-0.55,-0.55
27857,-0.55,-0.55
27858,-0.55,-0.55
27859,-0.55,-0.55
27861,-0.55,-0.55
27862,-0.55,-0.55
27863,-0.55,-0.55
27864,-0.55,-0.55
27865,-0.56,-0.56
27867,-0.55,-0.55
27868,-0.55,-0.55
27869,-0.55,-0.55
27870,-0.55,-0.55
27871,-0.55,-0.55
27873,-0.55,-0.55
27874,-0.55,-0.55
27875,-0.55,-0.55
27876,-0.55,-0.55
27877,-0.55,-0.55
27879,-0.55,-0.55
27880,-0.55,-0.55
27881,-0.55,-0.55
27882,-0.55,-0.55
27883,-0.55,-0.55
27885,-0.55,-0.55
27886,-0.55,-0.55
27887,-0.56,-0.56
27888,-0.55,-0.55
27889,-0.55,-0.55
27890,-0.55,-0.55
27892,-0.55,-0.55
27893,-0.55,-0.55
27894,-0.55,-0.55
27895,-0.56,-0.56
27896,-0.55,-0.55
27898,-0.55,-0.55
27899,-0.55,-0.55
27900,-0.55,-0.55
27901,-0.55,-0.55
27902,-0.56,-0.56
27903,-0.55,-0.55
27905,-0.55,-0.55
27906,-0.55,-0.55
27907,-0.55,-0.55
27908,-0.53,-0.53
27909,-0.55,-0.55
27910,-0.53,-0.53
27912,-0.55,-0.55
27913,-0.55,-0.55
27914,-0.55,-0.55
27915,-0.55,-0.55
27916,-0.55,-0.55
27918,-0.55,-0.55
27919,-0.58,-0.58
27920,-0.55,-0.55
27921,-0.55,-0.55
27922,-0.58,-0.58
27923,-0.55,-0.55
27925,-0.55,-0.55
27926,-0.56,-0.56
27927,-0.55,-0.55
27928,-0.56,-0.56
27929,-0.55,-0.55
27931,-0.55,-0.55
27932,-0.55,-0.55
27933,-0.56,-0.56
27934,-0.55,-0.55
27935,-0.55,-0.55
27937,-0.55,-0.55
27938,-0.55,-0.55
27939,-0.55,-0.55
27940,-0.55,-0.55
27941,-0.55,-0.55
27942,-0.56,-0.56
27944,-0.55,-0.55
27945,-0.55,-0.55
27946,-0.55,-0.55
27947,-0.55,-0.55
27948,-0.55,-0.55
27949,-0.55,-0.55
27951,-0.56,-0.56
27952,-0.55,-0.55
27953,-0.55,-0.55
27954,-0.55,-0.55
27955,-0.55,-0.55
27957,-0.55,-0.55
27958,-0.55,-0.55
27959,-0.55,-0.55
27960,-0.55,-0.55
27961,-0.56,-0.56
27962,-0.55,-0.55
27964,-0.55,-0.55
27965,-0.55,-0.55
27966,-0.55,-0.55
27967,-0.55,-0.55
27968,-0.55,-0.55
27970,-0.55,-0.55
27971,-0.55,-0.55
27972,-0.55,-0.55
27973,-0.55,-0.55
27974,-0.55,-0.55
27975,-0.55,-0.55
27977,-0.55,-0.55
27978,-0.55,-0.55
27979,-0.55,-0.55
27980,-0.55,-0.55
27981,-0.52,-0.52
27982,-0.55,-0.55
27984,-0.55,-0.55
27985,-0.55,-0.55
27986,-0.53,-0.53
27987,-0.55,-0.55
27988,-0.55,-0.55
27990,-0.55,-0.55
27991,-0.55,-0.55
27992,-0.55,-0.55
27993,-0.55,-0.55
27994,-0.56,-0.56
27995,-0.55,-0.55
27997,-0.55,-0.55
27998,-0.55,-0.55
27999,-0.55,-0.55
28000,-0.55,-0.55
28001,-0.55,-0.55
28002,-0.55,-0.55
28004,-0.55,-0.55
28005,-0.55,-0.55
28006,-0.55,-0.55
28007,-0.55,-0.55
28008,-0.55,-0.55
28010,-0.55,-0.55
28011,-0.55,-0.55
28012,-0.55,-0.55
28013,-0.55,-0.55
28014,-0.55,-0.55
28016,-0.55,-0.55
28017,-0.55,-0.55
28018,-0.55,-0.55
28019,-0.55,-0.55
28020,-0.55,-0.55
28022,-0.55,-0.55
28023,-0.55,-0.55
28024,-0.55,-0.55
28025,-0.55,-0.55
28026,-0.55,-0.55
28027,-0.55,-0.55
28029,-0.55,-0.55
28030,-0.55,-0.55
28031,-0.55,-0.55
28032,-0.55,-0.55
28034,-0.55,-0.55
28035,-0.55,-0.55
28036,-0.55,-0.55
28037,-0.55,-0.55
28038,-0.55,-0.55
28039,-0.55,-0.55
28041,-0.56,-0.56
28042,-0.55,-0.55
28043,-0.55,-0.55
28044,-0.55,-0.55
28045,-0.55,-0.55
28047,-0.55,-0.55
28048,-0.55,-0.55
28049,-0.55,-0.55
28050,-0.55,-0.55
28051,-0.58,-0.58
28052,-0.55,-0.55
28054,-0.55,-0.55
28055,-0.55,-0.55
28056,-0.55,-0.55
28057,-0.55,-0.55
28058,-0.55,-0.55
28060,-0.55,-0.55
28061,-0.55,-0.55
28062,-0.55,-0.55
28063,-0.53,-0.53
28064,-0.55,-0.55
28065,-0.55,-0.55
28066,-0.56,-0.56
28068,-0.55,-0.55
28069,-0.55,-0.55
