-0.93421,-0.47721,-0.45700,
-0.93421,-0.47621,-0.45800,
-0.93421,-0.47521,-0.45900,
-0.93421,-0.47421,-0.46000,
-0.94799,-0.48699,-0.46100,
1342,-0.93421,-0.93221,-0.00200,
1865,-0.93421,-0.93121,-0.00300,
2388,-0.93421,-0.93021,-0.00400,
2911,-0.94799,-0.94299,-0.00500,
3435,-0.93421,-0.92821,-0.00600,
3958,-0.93421,-0.92721,-0.00700,
4481,-0.93421,-0.92621,-0.00800,
5004,-0.93421,-0.92521,-0.00900,
5527,-0.93421,-0.92421,-0.01000,
6050,-0.93421,-0.92321,-0.01100,
6573,-0.93421,-0.92221,-0.01200,
7096,-0.93421,-0.92121,-0.01300,
7620,-0.93421,-0.92021,-0.01400,
8143,-0.93421,-0.91921,-0.01500,
8666,-0.93421,-0.91821,-0.01600,
9189,-0.93421,-0.91721,-0.01700,
9713,-0.93421,-0.91621,-0.01800,
10236,-0.93421,-0.91521,-0.01900,
10759,-0.93421,-0.91421,-0.02000,
11282,-0.93421,-0.91321,-0.02100,
11805,-0.67241,-0.65041,-0.02200,
12328,-0.43817,-0.41517,-0.02300,
12851,-0.27282,-0.24882,-0.02400,
13374,-0.13503,-0.11003,-0.02500,
13897,-0.06614,-0.04014,-0.02600,
14420,-0.06614,-0.03914,-0.02700,
14943,-0.06614,-0.03814,-0.02800,
15466,-0.06614,-0.03714,-0.02900,
15989,-0.06614,-0.03614,-0.03000,
16512,-0.06614,-0.03514,-0.03100,
17035,-0.06614,-0.03414,-0.03200,
17558,-0.06614,-0.03314,-0.03300,
18081,-0.06614,-0.03214,-0.03400,
18604,-0.05236,-0.01736,-0.03500,
19127,-0.05236,-0.01636,-0.03600,
19650,-0.05236,-0.01536,-0.03700,
20173,-0.06614,-0.02814,-0.03800,
20696,-0.06614,-0.02714,-0.03900,
21219,-0.05236,-0.01236,-0.04000,
21743,-0.06614,-0.02514,-0.04100,
22266,-0.05236,-0.01036,-0.04200,
22789,-0.05236,-0.00936,-0.04300,
23312,-0.05236,-0.00836,-0.04400,
23835,-0.06614,-0.02114,-0.04500,
24358,-0.05236,-0.00636,-0.04600,
24881,-0.06614,-0.01914,-0.04700,
25404,-0.06614,-0.01814,-0.04800,
25927,-0.05236,-0.00336,-0.04900,
26450,-0.05236,-0.00236,-0.05000,
26973,-0.05236,-0.00136,-0.05100,
27496,-0.06614,-0.01414,-0.05200,
28019,-0.05236,0.00064,-0.05300,
28542,-0.05236,0.00164,-0.05400,
29065,-0.05236,0.00264,-0.05500,
29588,-0.05236,0.00364,-0.05600,
30111,-0.05236,0.00464,-0.05700,
30634,-0.05236,0.00564,-0.05800,
31157,-0.05236,0.00664,-0.05900,
31680,-0.05236,0.00764,-0.06000,
32203,-0.05236,0.00864,-0.06100,
32726,-0.05236,0.00964,-0.06200,
33249,-0.05236,0.01064,-0.06300,
33772,-0.05236,0.01164,-0.06400,
34295,-0.05236,0.01264,-0.06500,
34818,-0.05236,0.01364,-0.06600,
35341,-0.05236,0.01464,-0.06700,
35864,-0.05236,0.01564,-0.06800,
36387,-0.05236,0.01664,-0.06900,
36910,-0.05236,0.01764,-0.07000,
37433,-0.05236,0.01864,-0.07100,
37956,-0.02480,0.04720,-0.07200,
38479,0.18188,0.25488,-0.07300,
39002,0.38856,0.46256,-0.07400,
39525,0.62281,0.69781,-0.07500,
40048,0.88461,0.96061,-0.07600,
40571,1.20152,1.27852,-0.07700,
41094,1.42198,1.49998,-0.07800,
41617,1.42198,1.50098,-0.07900,
42140,1.43576,1.51576,-0.08000,
42663,1.42198,1.50298,-0.08100,
43186,1.43576,1.51776,-0.08200,
43709,1.42198,1.50498,-0.08300,
